alpha,recall_at_5,recall_at_10,recall_at_15,recall_at_20,ndcg_at_5,ndcg_at_10,ndcg_at_15,ndcg_at_20
0.0000,0.0684,0.1200,0.1611,0.1983,0.6440,0.5950,0.5599,0.5338
0.0100,0.0708,0.1235,0.1665,0.2072,0.6561,0.6078,0.5726,0.5497
0.0200,0.0724,0.1269,0.1726,0.2153,0.6660,0.6180,0.5851,0.5621
0.0300,0.0741,0.1293,0.1771,0.2210,0.6742,0.6245,0.5940,0.5718
0.0400,0.0752,0.1318,0.1809,0.2263,0.6783,0.6302,0.6004,0.5796
0.0500,0.0761,0.1338,0.1830,0.2300,0.6813,0.6346,0.6047,0.5852
0.0600,0.0764,0.1350,0.1857,0.2333,0.6837,0.6377,0.6089,0.5892
0.0700,0.0769,0.1369,0.1880,0.2358,0.6846,0.6410,0.6122,0.5924
0.0800,0.0773,0.1380,0.1893,0.2383,0.6853,0.6429,0.6145,0.5955
0.0900,0.0778,0.1388,0.1904,0.2393,0.6869,0.6446,0.6162,0.5972
0.1000,0.0782,0.1391,0.1909,0.2400,0.6878,0.6454,0.6170,0.5983
0.1100,0.0784,0.1396,0.1914,0.2402,0.6881,0.6460,0.6177,0.5987
0.1200,0.0786,0.1396,0.1914,0.2404,0.6886,0.6464,0.6178,0.5991
0.1300,0.0786,0.1396,0.1914,0.2404,0.6887,0.6465,0.6179,0.5991
0.1400,0.0786,0.1396,0.1914,0.2407,0.6887,0.6465,0.6179,0.5993
0.1500,0.0786,0.1396,0.1914,0.2407,0.6888,0.6465,0.6179,0.5993
0.1600,0.0786,0.1396,0.1916,0.2409,0.6888,0.6465,0.6180,0.5994
0.1700,0.0786,0.1396,0.1916,0.2409,0.6888,0.6465,0.6180,0.5995
0.1800,0.0786,0.1399,0.1918,0.2409,0.6888,0.6467,0.6182,0.5995
0.1900,0.0786,0.1399,0.1918,0.2409,0.6888,0.6467,0.6182,0.5995
0.2000,0.0786,0.1401,0.1918,0.2409,0.6888,0.6468,0.6182,0.5995
