=== Alpha Optimization Results ===

Optimal Alpha: 0.20

Performance by Alpha Values:
 alpha  recall_at_5  recall_at_10  recall_at_15  recall_at_20  ndcg_at_5  ndcg_at_10  ndcg_at_15  ndcg_at_20
0.0000       0.0684        0.1200        0.1611        0.1983     0.6440      0.5950      0.5599      0.5338
0.0100       0.0708        0.1235        0.1665        0.2072     0.6561      0.6078      0.5726      0.5497
0.0200       0.0724        0.1269        0.1726        0.2153     0.6660      0.6180      0.5851      0.5621
0.0300       0.0741        0.1293        0.1771        0.2210     0.6742      0.6245      0.5940      0.5718
0.0400       0.0752        0.1318        0.1809        0.2263     0.6783      0.6302      0.6004      0.5796
0.0500       0.0761        0.1338        0.1830        0.2300     0.6813      0.6346      0.6047      0.5852
0.0600       0.0764        0.1350        0.1857        0.2333     0.6837      0.6377      0.6089      0.5892
0.0700       0.0769        0.1369        0.1880        0.2358     0.6846      0.6410      0.6122      0.5924
0.0800       0.0773        0.1380        0.1893        0.2383     0.6853      0.6429      0.6145      0.5955
0.0900       0.0778        0.1388        0.1904        0.2393     0.6869      0.6446      0.6162      0.5972
0.1000       0.0782        0.1391        0.1909        0.2400     0.6878      0.6454      0.6170      0.5983
0.1100       0.0784        0.1396        0.1914        0.2402     0.6881      0.6460      0.6177      0.5987
0.1200       0.0786        0.1396        0.1914        0.2404     0.6886      0.6464      0.6178      0.5991
0.1300       0.0786        0.1396        0.1914        0.2404     0.6887      0.6465      0.6179      0.5991
0.1400       0.0786        0.1396        0.1914        0.2407     0.6887      0.6465      0.6179      0.5993
0.1500       0.0786        0.1396        0.1914        0.2407     0.6888      0.6465      0.6179      0.5993
0.1600       0.0786        0.1396        0.1916        0.2409     0.6888      0.6465      0.6180      0.5994
0.1700       0.0786        0.1396        0.1916        0.2409     0.6888      0.6465      0.6180      0.5995
0.1800       0.0786        0.1399        0.1918        0.2409     0.6888      0.6467      0.6182      0.5995
0.1900       0.0786        0.1399        0.1918        0.2409     0.6888      0.6467      0.6182      0.5995
0.2000       0.0786        0.1401        0.1918        0.2409     0.6888      0.6468      0.6182      0.5995

Ticker Distribution Analysis:
       query_count  same_ticker_chunks  different_ticker_chunks  same_ticker_relevant  different_ticker_relevant  same_ticker_relevance_rate  different_ticker_relevance_rate
AAPL             5                 224                      776                   108                         24                      0.4821                           0.0309
MSFT             5                 308                      692                   224                         68                      0.7273                           0.0983
GOOG             5                 536                      464                   241                         15                      0.4496                           0.0323
AMZN             5                 284                      716                   129                         46                      0.4542                           0.0642
META             5                  95                      905                    66                         95                      0.6947                           0.1050
NVDA             5                 420                      580                   271                         49                      0.6452                           0.0845
ADBE             5                 637                      363                   236                          9                      0.3705                           0.0248
CRM              5                 361                      639                   241                         56                      0.6676                           0.0876
TSLA             5                 569                      431                   322                          7                      0.5659                           0.0162
CSCO             5                 222                      778                   135                         26                      0.6081                           0.0334
AMD              5                 300                      700                   208                         41                      0.6933                           0.0586
NOW              5                 267                      733                   195                         67                      0.7303                           0.0914
PLTR             5                 492                      508                   230                         31                      0.4675                           0.0610
IBM              5                 191                      809                   110                         52                      0.5759                           0.0643
AVGO             5                 242                      758                   132                         57                      0.5455                           0.0752
TXN              5                 236                      764                   113                         15                      0.4788                           0.0196
QCOM             5                 268                      732                   160                         10                      0.5970                           0.0137
INTU             5                 463                      537                   235                         31                      0.5076                           0.0577
PYPL             5                 584                      416                   241                         27                      0.4127                           0.0649
ACN              5                 199                      801                   137                         47                      0.6884                           0.0587
JPM              5                  53                      947                    29                         48                      0.5472                           0.0507
BAC              5                 384                      616                   165                         28                      0.4297                           0.0455
WFC              5                 154                      846                    57                         29                      0.3701                           0.0343
C                5                   0                     1000                     0                        472                      0.0000                           0.4720
GS               5                 648                      352                   165                         10                      0.2546                           0.0284
BK               5                 162                      838                    51                         27                      0.3148                           0.0322
USB              5                  31                      969                    21                        101                      0.6774                           0.1042
SCHW             5                 907                       93                   216                          0                      0.2381                           0.0000
AXP              5                 670                      330                   266                         19                      0.3970                           0.0576
COF              5                 908                       92                   258                          2                      0.2841                           0.0217
BLK              5                 301                      699                    67                        116                      0.2226                           0.1660
AIG              5                 860                      140                   170                          0                      0.1977                           0.0000
MET              5                 795                      205                   251                         23                      0.3157                           0.1122
MS               5                   0                     1000                     0                        492                      0.0000                           0.4920
UNH              5                 337                      663                   161                         40                      0.4777                           0.0603
JNJ              5                 493                      507                   254                         32                      0.5152                           0.0631
PFE              5                 549                      451                   285                         27                      0.5191                           0.0599
ABBV             5                 558                      442                   344                         43                      0.6165                           0.0973
MRK              5                 665                      335                   328                         17                      0.4932                           0.0507
TMO              5                 386                      614                   181                         40                      0.4689                           0.0651
ABT              5                 605                      395                   296                         24                      0.4893                           0.0608
DHR              5                 326                      674                   198                         36                      0.6074                           0.0534
BMY              5                 593                      407                   291                         29                      0.4907                           0.0713
GILD             5                 426                      574                   242                         24                      0.5681                           0.0418
AMGN             5                 219                      781                   116                         29                      0.5297                           0.0371
LLY              5                 305                      695                   157                         32                      0.5148                           0.0460
MDT              5                 437                      563                   207                         15                      0.4737                           0.0266
ISRG             5                 725                      275                   295                         14                      0.4069                           0.0509
