q,ticker,company_name
Apple Inc.의 지배구조·이사회 구성과 변화 사항을 알려줘.,AAPL,Apple Inc.
Apple Inc.의 매출을 부문별로 설명해 줘.,AAPL,Apple Inc.
Apple Inc.의 ESG 항목에서 강조한 이슈는?,AAPL,Apple Inc.
Apple Inc.의 칩/하드웨어 로드맵을 요약해 줘.,AAPL,Apple Inc.
Apple Inc.의 클라우드 서비스 매출 규모와 성장률은?,AAPL,Apple Inc.
Microsoft Corporation의 비용 구조와 전년 대비 변동 요인을 알려줘.,MSFT,Microsoft Corporation
Microsoft Corporation의 ESG 항목에서 강조한 이슈는?,MSFT,Microsoft Corporation
Microsoft Corporation의 매출을 부문별로 설명해 줘.,MSFT,Microsoft Corporation
Microsoft Corporation의 사이버보안·데이터 프라이버시 리스크를 언급한 내용은?,MSFT,Microsoft Corporation
Microsoft Corporation의 AI / 머신러닝 인프라 투자 계획은?,MSFT,Microsoft Corporation
Alphabet Inc. Class C의 주주환원 정책 주요 사항은?,GOOG,Alphabet Inc. Class C
Alphabet Inc. Class C의 현금흐름 추세와 의미를 설명해 줘.,GOOG,Alphabet Inc. Class C
Alphabet Inc. Class C의 매출을 부문별로 설명해 줘.,GOOG,Alphabet Inc. Class C
Alphabet Inc. Class C의 AI / 머신러닝 인프라 투자 계획은?,GOOG,Alphabet Inc. Class C
Alphabet Inc. Class C의 사이버보안·데이터 프라이버시 리스크를 언급한 내용은?,GOOG,Alphabet Inc. Class C
"Amazon.com, Inc.의 비용 구조와 전년 대비 변동 요인을 알려줘.",AMZN,"Amazon.com, Inc."
"Amazon.com, Inc.의 ESG 항목에서 강조한 이슈는?",AMZN,"Amazon.com, Inc."
"Amazon.com, Inc.의 주주환원 정책 주요 사항은?",AMZN,"Amazon.com, Inc."
"Amazon.com, Inc.의 사이버보안·데이터 프라이버시 리스크를 언급한 내용은?",AMZN,"Amazon.com, Inc."
"Amazon.com, Inc.의 AI / 머신러닝 인프라 투자 계획은?",AMZN,"Amazon.com, Inc."
"Meta Platforms, Inc.의 주주환원 정책 주요 사항은?",META,"Meta Platforms, Inc."
"Meta Platforms, Inc.의 비용 구조와 전년 대비 변동 요인을 알려줘.",META,"Meta Platforms, Inc."
"Meta Platforms, Inc.의 ESG 항목에서 강조한 이슈는?",META,"Meta Platforms, Inc."
"Meta Platforms, Inc.의 구독·SaaS 매출 비중과 고객 유지율은?",META,"Meta Platforms, Inc."
"Meta Platforms, Inc.의 클라우드 서비스 매출 규모와 성장률은?",META,"Meta Platforms, Inc."
NVIDIA Corporation의 현금흐름 추세와 의미를 설명해 줘.,NVDA,NVIDIA Corporation
NVIDIA Corporation의 주주환원 정책 주요 사항은?,NVDA,NVIDIA Corporation
NVIDIA Corporation의 10-K 주요 리스크 3가지를 요약해 줘.,NVDA,NVIDIA Corporation
NVIDIA Corporation의 AI / 머신러닝 인프라 투자 계획은?,NVDA,NVIDIA Corporation
NVIDIA Corporation의 클라우드 서비스 매출 규모와 성장률은?,NVDA,NVIDIA Corporation
Adobe Inc.의 지배구조·이사회 구성과 변화 사항을 알려줘.,ADBE,Adobe Inc.
Adobe Inc.의 현금흐름 추세와 의미를 설명해 줘.,ADBE,Adobe Inc.
Adobe Inc.의 10-K 주요 리스크 3가지를 요약해 줘.,ADBE,Adobe Inc.
Adobe Inc.의 칩/하드웨어 로드맵을 요약해 줘.,ADBE,Adobe Inc.
Adobe Inc.의 클라우드 서비스 매출 규모와 성장률은?,ADBE,Adobe Inc.
"Salesforce, Inc.의 비용 구조와 전년 대비 변동 요인을 알려줘.",CRM,"Salesforce, Inc."
"Salesforce, Inc.의 10-K 주요 리스크 3가지를 요약해 줘.",CRM,"Salesforce, Inc."
"Salesforce, Inc.의 매출을 부문별로 설명해 줘.",CRM,"Salesforce, Inc."
"Salesforce, Inc.의 AI / 머신러닝 인프라 투자 계획은?",CRM,"Salesforce, Inc."
"Salesforce, Inc.의 구독·SaaS 매출 비중과 고객 유지율은?",CRM,"Salesforce, Inc."
"Tesla, Inc.의 매출을 부문별로 설명해 줘.",TSLA,"Tesla, Inc."
"Tesla, Inc.의 10-K 주요 리스크 3가지를 요약해 줘.",TSLA,"Tesla, Inc."
"Tesla, Inc.의 지배구조·이사회 구성과 변화 사항을 알려줘.",TSLA,"Tesla, Inc."
"Tesla, Inc.의 사이버보안·데이터 프라이버시 리스크를 언급한 내용은?",TSLA,"Tesla, Inc."
